"year","grid_pt","last_snow","snowmelt","snowmelt_est","Estimate","Est.Error","Q2.5","Q97.5"
"2008","42",183,190,186.5,175.272157866297,0.598851585408235,133.153688138783,217.087550320704
"2008","43",183,190,185.24217111155,185.24217111155,0.602614243899421,142.125049639142,227.585068580302
"2008","44",190,197,193.5,186.912727741303,0.604605395532404,144.636453717092,229.252928163265
"2008","45",197,204,200.5,190.784063494538,0.605769315129184,148.143758605653,233.057718012123
"2008","46",183,190,186.5,178.004372963579,0.602214324405951,135.965395340842,220.288465071863
"2008","47",162,169,165.5,153.036446791814,0.603256792982726,110.412506458673,195.28660002918
"2008","48",120,162,134.179089381328,134.179089381328,0.598541151990864,92.3048995640247,176.326035249113
"2008","49",120,162,139.9899449212,139.9899449212,0.603272617957895,97.320666794317,182.090494125436
"2008","50",120,162,141,116.740778496179,0.601711357326748,74.5228173567074,159.225843035426
"2008","51",169,176,172.5,165.571984917507,0.601862605310255,123.183943797553,207.770984331961
"2008","52",169,176,172.5,159.513447740119,0.602729704860195,117.220062451917,201.9009017892
"2008","53",183,190,185.389419941509,185.389419941509,0.60461538731714,142.595239955809,227.879621589987
"2008","54",190,197,193.5,189.576068013735,0.608868169378316,146.379900070108,232.378417874401
"2008","55",197,204,203.680129932699,203.680129932699,0.611675883529154,160.553075583607,246.50521595558
"2008","56",204,211,207.5,202.381174385139,0.611227460034784,159.21122049731,245.040322327459
"2008","57",190,197,193.5,148.260822469728,0.60014695779266,105.915274036844,190.258192417411
"2008","58",120,162,145.749851760361,145.749851760361,0.60397029339926,103.408440763294,187.978429843204
"2008","59",120,162,130.828274776194,130.828274776194,0.602217255859995,88.298604892914,173.289370469802
"2008","60",120,162,134.552919428239,134.552919428239,0.599976919356856,91.973757623507,176.759629190904
"2008","61",120,162,148.480398006073,148.480398006073,0.602553678648613,105.857608481322,191.011387099929
"2008","62",183,190,186.5,176.43289928588,0.600270837545215,134.368524519131,218.713959963779
"2008","63",183,190,186.815857503821,186.815857503821,0.60281961503861,144.331657111387,229.103395971992
"2008","64",190,197,193.5,166.757765210491,0.602159046495098,124.384662773554,209.182377109639
"2008","65",197,204,200.5,205.006615647508,0.610504520016102,162.344953631944,247.92762786491
"2008","66",204,211,207.5,201.371379943704,0.606257510738246,158.280614761248,243.906366155428
"2008","67",190,197,193.5,147.246507445329,0.601621879177856,104.936048092032,189.671975018484
"2008","68",120,162,141.992193956994,141.992193956994,0.600683214719941,99.8509227733278,184.204377879563
"2008","69",120,162,129.810355829252,129.810355829252,0.603236486761933,87.0092119520253,172.152490841826
"2008","70",120,162,124.878433115306,124.878433115306,0.597965667821475,82.8204602855185,167.170744716584
