"EXPT","TRTCODE","DEFINITION","TRT_CODE_STD","TRT_CODES_LUMPED","YEAR","SPP","PLOT","Raw_Abund","Tot_hits","Rel_Abund","Community_type","EXPT_START","USE_IN_ANALYSIS_X","USE_IN_ANALYSIS_Y"
"Saddle","X","Control plots","X","X","1989","TETACA","39",1,78,0.0128205128205128,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","40",2,83,0.0240963855421687,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CALPUR","40",1,83,0.0120481927710843,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARRUP","40",2,83,0.0240963855421687,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERINAN","40",2,83,0.0240963855421687,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","40",2,83,0.0240963855421687,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","KOBMYO","40",64,83,0.771084337349398,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLVIV","40",1,83,0.0120481927710843,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SELDEN","40",9,83,0.108433734939759,"DM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","43",4,68,0.0588235294117647,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CASOCC","43",1,68,0.0147058823529412,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","43",31,68,0.455882352941176,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","43",7,68,0.102941176470588,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POLBIS","43",8,68,0.117647058823529,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","RANADO","43",2,68,0.0294117647058824,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","43",2,68,0.0294117647058824,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","43",13,68,0.191176470588235,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","DESCES","44",21,86,0.244186046511628,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","FESBRA","44",3,86,0.0348837209302326,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","44",4,86,0.0465116279069767,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POA_SP","44",6,86,0.0697674418604651,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","TRIPAR","44",52,86,0.604651162790698,"MM","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ARTSCO","45",2,39,0.0512820512820513,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","CARPYR","45",3,39,0.0769230769230769,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","ERISIM","45",1,39,0.0256410256410256,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","GEUROS","45",1,39,0.0256410256410256,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","POA_SP","45",1,39,0.0256410256410256,"SB","1989"," "," "
"Saddle","X","Control plots","X","X","1989","SIBPRO","45",11,39,0.282051282051282,"SB","1989"," "," "
